title,address,facility,緯度,経度
雄滝雌滝,和歌山県紀の川市桃山町神田,雄滝雌滝は、高さ約3ｍと1ｍの2つの滝で、「秘文の滝（ひもんのたき）」とも呼ばれています。周辺は公園として整備されていて、雄滝雌滝メインに、2基のつり橋と...,34.2174585,135.3627857
背山公園,和歌山県伊都郡かつらぎ町背ノ山,鉢伏山の頂上にある公園です。鉢伏山は別名を背山といいます。「背」とは、古代では女性が恋人である男性に「妹」は男性から恋人である女性に呼びかける言葉で、恋歌...,34.2845714,135.4580466
花園グリーンパーク,和歌山県伊都郡かつらぎ町大字花園新子256-1,「花園グリーンパーク」はローラースライダーがある公園、立ち寄り湯、ジビエBBQまで楽しめるカフェを併設しているなど、楽しさいっぱいの複合型の宿泊施設です。...,34.1340047,135.5598792
海南市わんぱく公園,和歌山県海南市大野中995-2,"和歌山県海南市にある「海南市わんぱく公園」は、自由に遊べるみんなの裏山です。子ども達のわくわくを誘うスポットが充実しています。

体を動かして元気に遊ぶな...",34.1589743,135.2342057
かつらぎ公園,和歌山県伊都郡かつらぎ町丁ノ町2530,テニスコート、プール、体育館とスポーツ施設が集結している公園です。町内でのスポーツイベントや試合によく利用されています。この公園には、世界恒久平和を祈願し...,34.2952663,135.5184885
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
アクセス抜群♪小さいお子様と一緒に楽しめるキャンプ場,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
番所庭園,和歌山県和歌山市雑賀崎番所ノ鼻,雑賀崎西端にある和歌浦湾に突き出た岬の庭園です。江戸時代に紀州藩の見張り番所が置かれた場所であったことから、「番所の鼻」とも呼ばれています。岬にあるため、...,34.1906797,135.1406799
日本童謡の園,和歌山県西牟婁郡すさみ町江住日本童謡の園公園,熊野枯木灘県立自然公園内、海岸沿いに整備された公園「日本童謡の園」。1987年に日本で初めて童謡をテーマとしたこの公園がオープンしました。紀州ゆかり童話の...,33.504753,135.5881306
ひき岩群国民休養地,和歌山県田辺市稲成町1629,"ひき岩群国民休養地は、変わった形の岩山が並んでいるのがカエルのように見えるため、その名がつけられたと言われています。
岩山からは白浜の海も見ることができ...",33.7602939,135.3863991
御坊総合運動公園,和歌山県御坊市塩屋町南塩屋1123,"和歌山県御坊市にある「御坊総合運動公園」は遊びどころ満載の公園です。
総面積17.2ヘクタール。広大な敷地には「野球場」、「多目的グランド」、「市民憩い...",33.8606479,135.1697473
猪谷川水辺公園,和歌山県日高郡日高川町初湯川1737,猪谷川水辺公園は和椿山ダムから車で10分のところにある自然豊かな公園です。。名前どおり、山に囲まれた猪谷川の水辺の公園なので、自然プールや川遊びスペースが...,33.9676092,135.4074519
鷲ヶ峰コスモスパーク,和歌山県有田郡有田川町船坂244-2,標高587mの鷲ケ峰の頂上にある自然公園です。その名称通り、9月末から10月初旬にはコスモス畑が満開となり、観光客でにぎわいます。また、春のツツジの名所で...,34.0851635,135.227872
有田川鉄道公園,和歌山県有田郡有田川町徳田124番地1,和歌山県有田郡有田川町にある鉄道公園です。こちらでは、旧有田鉄道で実際に走っていた「キハ58003」と「ハイモ180 101」、紀州鉄道の「キテツ1号」を...,34.0655453,135.2466833
海賊公園,和歌山県新宮市佐野1332-1,新宮市に2016年8月にオープンした公園です。公園内には、アスレチックエリア、芝生エリアがあり、大型の遊具も複数設置。公園の名前にもなっている海賊船をモチ...,33.6882544,135.9659753
田口川砂防公園,和歌山県有田郡有田川町田口801,有田川近くにある土砂災害から守るための公園です。防災目的だけではなく、地元ボランティアの方たちが自然環境保全に力を入れています。そのおかげで初夏にはホタル...,34.0839401,135.1985947
杉村公園,和歌山県橋本市御幸辻786-2,和歌山県橋本市の駅近くにある広大な自然公園です。広々とした園内には、郷土資料館、芝生広場、つり橋、アスレチック施設、遊具がそろった広場が点在しています。ハ...,34.3414091,135.5975744
長山ふれあい公園,和歌山県紀の川市貴志川町長山277-735,"「長山ふれあい公園」は緑豊かな地域と住宅エリアの間にあります。桜が植樹されているので、春のお出かけに最適。

園内には大きな船のオブジェがあり、見応え...",34.211714,135.2857196
次郎丸公園,和歌山県和歌山市次郎丸,次郎丸公園は、和歌山県和歌山市の次郎丸地区にある小さな公園です。公園の真ん中に、ブランコ、滑り台、ロープの登り網などがついている木製の遊具があり、お子さん...,34.2558299,135.1500353
小目津公園,和歌山県日高郡みなべ町山内368-4,"和歌山県みなべ町、小目津浜に面した「小目津公園」は、広さ7,500平方メートルの広々とした無料の町営公園です。
駐車場からも公園内からも海を一望でき、そ...",33.7771349,135.3040795
紀の川市民公園「野あそびの丘」,和歌山県紀の川市上野354-83,"「紀の川市民公園」内に作られた「野あそびの丘」のコンセプトは野山であそぶ""21世紀型複合遊具""。公園の入り口から奥へ向かって作られた数々の丘を乗り越え、登...",34.2547625,135.3622534
亀池公園,和歌山県海南市阪井452番地,"江戸時代に作られた池を中心とした公園です。周囲約4kmもある池は、県下最大級！　当時この大きさの池を、3か月で作ったというから驚きです。
池の周囲は、散...",34.1539778,135.2618869
世界で1つしかない本革ショルダーバッグ作りに挑戦！！,東京都墨田区緑2-13-5,Facility information not found,35.6944123,139.8006397
グランピングでゴージャス×アウトドアをまるっと体験！,滋賀県米原市池下80-1,Facility information not found,35.3729569,136.3607066
紀見ヶ丘2号公園,和歌山県橋本市紀見ケ丘2丁目221-74,「紀見ヶ丘2号公園」は橋本市紀見ヶ丘2丁目の住宅地にある公園です。三角形の敷地内には子どもが楽しめるブランコや砂場、ジャングルジムなどの遊具と、パンダさん...,34.3672059,135.610749
県立江住海岸公園,和歌山県西牟婁郡すさみ町小附,「日本童謡の園」とも呼ばれる「県立江住海岸公園」。園内には、日本の代表的な童謡の歌碑が並んでいて、近づくと歌が聞こえて癒されるのはもちろんですが、海岸沿い...,33.6102263,135.5487829
名古曽児童公園,和歌山県橋本市高野口町名古曽1238-2,"「きのここうえん」の呼び名で地域に親しまれている公園です。田原川沿いにあり、いつもたくさんの親子連れでにぎわっています。

ここはなんと言っても、ユニーク...",34.3121085,135.5611695
高津公園（和歌山市）,和歌山県和歌山市関戸3-775-1,和歌山市の「雑賀小学校」「星林高校」に囲まれた場所に整備されている公園です。広いグラウンドもあり、自由に走り回ったりボール遊びもでき、大変開放的な公園です...,34.1983262,135.1649844
きしべの里,和歌山県紀の川市貴志川町井ノ口,紀の川市に流れる貴志川、その自然の恵みを堪能できる「きしべの里」は、「ホタルの里」とも呼ばれています。ホタルの生息地として知られる紀の川市ですが、きしべの...,34.204797,135.3158149
紀三井寺公園 ,和歌山県和歌山市毛見200番地,"「紀三井寺公園」は面積約172,300平方メートル内に、陸上競技場、野球場、テニス場、球技場・補助競技場」、登はん場、児童公園が設置された広大な公園です。...",34.1679069,135.1916166
那智高原公園,和歌山県東牟婁郡那智勝浦町那智山5-6,那智山付近の高原、大戸平に広がる森林公園です。1977年（昭和52年）全国植樹祭が催された記念に、公園としての整備が行われました。熊野古道｢大雲取越｣近く...,33.6735036,135.8897105
太田第1公園,和歌山県和歌山市太田550-3,和歌山市の住宅街の中にある公園です。遊具や夏にオープンする幼児プールのあるゾーンと芝生のゾーンに分かれています。春には桜の木も植えられているのでお花見もで...,34.22933450000001,135.197424
