Club,Genre,Address,Access,Age,Feature,url,longitude,latitude
ECCジュニア 朝日北教室,英語・英会話/学習塾,和歌山県和歌山市朝日２２９－８　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006010,34.1883464,135.2220151
ECCジュニア 西浜３丁目教室,英語・英会話,和歌山県和歌山市西浜3丁目5番55-1号　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200006029,34.2009087,135.1616868
ECCジュニア 松島東教室,英語・英会話,和歌山県和歌山市松島358-4　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005983,34.246192,135.211825
ECCジュニア ふじと台東教室,英語・英会話,和歌山県和歌山市栄谷974-84　,南海本線和歌山大学前駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006012,34.2701799,135.1575366
ECCジュニア 西和佐小学校前教室,英語・英会話/学習塾,和歌山県和歌山市岩橋1005-1　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200006028,34.2377852,135.2281381
ECCジュニア 岩橋教室,英語・英会話,和歌山県和歌山市岩橋１５８２－３　,JR和歌山線田井ノ瀬駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005943,34.2321119,135.2239002
ECCジュニア 榎原団地教室,英語・英会話/学習塾,和歌山県和歌山市榎原１５０－１４４　,南海加太線中松江駅/南海加太線八幡前駅/南海加太線東松江駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,駅チカ,https://sp-sukusuku.jp/kyoushitsu/s91200005961,34.2551856,135.130213
ECCジュニア 名草小学校前教室,英語・英会話/学習塾,和歌山県和歌山市紀三井寺534-6ソフィアファーストビル2,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005945,34.1775594,135.1866043
ECCジュニア 布引教室,英語・英会話/学習塾,和歌山県和歌山市布引405-1　,きのくに線紀三井寺駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005944,34.17689120000001,135.1797423
ECCジュニア 杭ノ瀬教室,英語・英会話,和歌山県和歌山市杭ノ瀬１９３－１３　,きのくに線宮前駅/貴志川線神前駅/貴志川線竈山駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006024,34.209801,135.196674
ECCジュニア 四ヶ郷北教室,英語・英会話/学習塾,和歌山県和歌山市有本415-29　,阪和線(天王寺～和歌山)紀伊中ノ島駅/阪和線(天王寺～和歌山)六十谷駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200005966,34.2523724,135.1979025
ECCジュニア 小倉教室,英語・英会話/学習塾,和歌山県和歌山市大垣内12-3　,JR和歌山線紀伊小倉駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006009,34.241188,135.2794813
ECCジュニア 秋葉町教室,英語・英会話,和歌山県和歌山市4-21秋葉山マンション108　,N/A,N/A,N/A,https://sp-sukusuku.jp/kyoushitsu/s91200005970,34.2008482,135.1708167
ECCジュニア 楠本教室,英語・英会話/学習塾,和歌山県和歌山市楠本72-18　,阪和線(天王寺～和歌山)紀伊駅,ベビー、年少、年中、年⻑、⼩1、⼩2、⼩3、⼩4、⼩5、⼩6,,https://sp-sukusuku.jp/kyoushitsu/s91200006007,34.2601309,135.2536333
