Category,School,Address,url,longitude,latitude
社会福祉法人,すみれこども園（保）,和歌山県和歌山市木ノ本３２１－２,https://www.gaccom.jp/nurseryschool-18721.html,34.2578265,135.128149
社会福祉法人,のざき保育園,和歌山県和歌山市野崎１１５,https://www.gaccom.jp/nurseryschool-18722.html,34.2437292,135.1570162
社会福祉法人,ふたば保育園,和歌山県和歌山市友田町３－３０,https://www.gaccom.jp/nurseryschool-18723.html,34.2334246,135.1864058
社会福祉法人,ひまわりこども園（保）,和歌山県和歌山市有本４３１,https://www.gaccom.jp/nurseryschool-18724.html,34.2510533,135.1982344
社会福祉法人,片男波こども園（保）,和歌山県和歌山市和歌浦南２－１１－８,https://www.gaccom.jp/nurseryschool-18725.html,34.1784419,135.1740161
社会福祉法人,つくし幼保園（保）,和歌山県和歌山市吉礼４８６－１,https://www.gaccom.jp/nurseryschool-85538.html,34.2018112,135.2405769
社会福祉法人,木ノ本こども園（保）,和歌山県和歌山市木ノ本３００番の１,https://www.gaccom.jp/nurseryschool-91749.html,34.2583013,135.1263352
公益法人,和歌山認定こども園,和歌山県和歌山市中１３２番地３,https://www.gaccom.jp/nurseryschool-101262.html,34.26504329999999,135.1471116
その他の法人,いさお幼稚園（保）,和歌山県和歌山市園部１５１８－１,https://www.gaccom.jp/nurseryschool-86966.html,34.2659888,135.1989955
その他の法人,和歌山ひかり幼稚園（保）,和歌山県和歌山市関戸１－２－３１,https://www.gaccom.jp/nurseryschool-86967.html,34.2016254,135.1682939
その他の法人,三宝幼稚園（保）,和歌山県和歌山市楠本２６７－１,https://www.gaccom.jp/nurseryschool-86970.html,34.257243,135.2578127
その他の法人,みどり幼稚園（保）,和歌山県和歌山市東高松３－３－３０,https://www.gaccom.jp/nurseryschool-91750.html,34.2055885,135.1722977
その他の法人,愛徳幼稚園（保）,和歌山県和歌山市今福３丁目６番３７号,https://www.gaccom.jp/nurseryschool-91751.html,34.2102136,135.1633512
その他の法人,名草幼稚園（保）,和歌山県和歌山市紀三井寺５２０,https://www.gaccom.jp/nurseryschool-91752.html,34.1754811,135.1894768
その他の法人,たから幼稚園（保）,和歌山県和歌山市塩屋２丁目１の１５,https://www.gaccom.jp/nurseryschool-91753.html,34.2014373,135.1750769
その他の法人,まつえ幼稚園（保）,和歌山県和歌山市松江中３丁目１番３５,https://www.gaccom.jp/nurseryschool-101263.html,34.2480292,135.1334095
